Scenario_ID,Original_Object,Target_Object,Prompt,Optimal_Force,Optimal_Sens,Score,CLIP_Val,SSIM_Val,Path_Ref,Path_Best
Ani_Bear_Tiger,brown bear,tiger,A brown bear walking in a forest,1.2,0.1,0.7330571532659216,29.45415687561035,0.3599350393842863,final_training_dataset/Ani_Bear_Tiger/reference.png,final_training_dataset/Ani_Bear_Tiger/best_F1.2_S0.1.png
Ani_Dog_Cat,golden retriever,tabby cat,A golden retriever sitting on a sofa,1.0,0.15,0.8101820347385518,29.61026382446289,0.5449418956232349,final_training_dataset/Ani_Dog_Cat/reference.png,final_training_dataset/Ani_Dog_Cat/best_F1.0_S0.15.png
Ani_Fish_Shark,goldfish,shark,A goldfish swimming in a glass bowl,1.0,0.15,0.7636607647865256,28.226158142089844,0.4978440048618218,final_training_dataset/Ani_Fish_Shark/reference.png,final_training_dataset/Ani_Fish_Shark/best_F1.0_S0.15.png
Ani_Horse_Zebra,brown horse,zebra,A brown horse galloping in a field,1.0,0.2,0.8857757473835965,32.69741439819336,0.5795686485493236,final_training_dataset/Ani_Horse_Zebra/reference.png,final_training_dataset/Ani_Horse_Zebra/best_F1.0_S0.2.png
Ani_Bird_Parrot,sparrow,colorful parrot,A sparrow sitting on a tree branch,0.8,0.1,0.8286370620570653,32.73489761352539,0.4348477744663937,final_training_dataset/Ani_Bird_Parrot/reference.png,final_training_dataset/Ani_Bird_Parrot/best_F0.8_S0.1.png
Veh_Car_Firetruck,red sedan,firetruck,A red sedan driving on a highway,0.8,0.2,0.8067773094332417,31.23033332824707,0.4554266071707507,final_training_dataset/Veh_Car_Firetruck/reference.png,final_training_dataset/Veh_Car_Firetruck/best_F0.8_S0.2.png
Veh_Boat_Yacht,wooden fishing boat,luxury yacht,A wooden fishing boat in the ocean,1.2,0.2,0.7928843500669036,30.31114196777344,0.4666537767785871,final_training_dataset/Veh_Boat_Yacht/reference.png,final_training_dataset/Veh_Boat_Yacht/best_F1.2_S0.2.png
Veh_Bike_Moto,bicycle,motorcycle,A bicycle parked against a wall,0.8,0.1,0.8110547699646166,30.1302433013916,0.5211247598419616,final_training_dataset/Veh_Bike_Moto/reference.png,final_training_dataset/Veh_Bike_Moto/best_F0.8_S0.1.png
Veh_Bus_Train,yellow school bus,green tram,A yellow school bus on the street,1.4,0.15,0.8356477249421504,36.017391204833984,0.288249752113677,final_training_dataset/Veh_Bus_Train/reference.png,final_training_dataset/Veh_Bus_Train/best_F1.4_S0.15.png
Obj_Apple_Orange,red apple,orange,A red apple on a wooden table,0.8,0.15,0.862756355920419,32.60764694213867,0.5265085426941136,final_training_dataset/Obj_Apple_Orange/reference.png,final_training_dataset/Obj_Apple_Orange/best_F0.8_S0.15.png
Obj_Pizza_Cake,pepperoni pizza,chocolate cake,A pepperoni pizza on a plate,1.0,0.2,0.7892208573645698,32.4141960144043,0.3523423426912098,final_training_dataset/Obj_Pizza_Cake/reference.png,final_training_dataset/Obj_Pizza_Cake/best_F1.0_S0.2.png
Obj_Coffee_Beer,cup of hot coffee,glass of beer,A cup of hot coffee on a desk,1.2,0.1,0.9111430243739664,34.609397888183594,0.5473876665257363,final_training_dataset/Obj_Coffee_Beer/reference.png,final_training_dataset/Obj_Coffee_Beer/best_F1.2_S0.1.png
Obj_Bottle_Can,glass wine bottle,soda can,A glass wine bottle on a counter,1.2,0.2,0.7333107004108789,28.838150024414062,0.3913692498064941,final_training_dataset/Obj_Bottle_Can/reference.png,final_training_dataset/Obj_Bottle_Can/best_F1.2_S0.2.png
Obj_Shoe_Boot,running shoe,leather boot,A running shoe on the floor,1.4,0.15,0.7752968998495923,33.58423614501953,0.259030442373004,final_training_dataset/Obj_Shoe_Boot/reference.png,final_training_dataset/Obj_Shoe_Boot/best_F1.4_S0.15.png
Ctx_Corgi_Snow,green grass,snowy field,A corgi dog running on green grass,1.2,0.1,0.705186248585228,27.895034790039062,0.3682138819611171,final_training_dataset/Ctx_Corgi_Snow/reference.png,final_training_dataset/Ctx_Corgi_Snow/best_F1.2_S0.1.png
Ani_Lion_Cat,lion,house cat,A lion lying in the savanna,0.8,0.2,0.6608421593283197,25.20569229125977,0.3918207837578107,final_training_dataset/Ani_Lion_Cat/reference.png,final_training_dataset/Ani_Lion_Cat/best_F0.8_S0.2.png
Ani_Wolf_Dog,grey wolf,husky dog,A grey wolf standing in the snow,0.8,0.2,0.7918450184092493,30.89944648742676,0.4346402216517853,final_training_dataset/Ani_Wolf_Dog/reference.png,final_training_dataset/Ani_Wolf_Dog/best_F0.8_S0.2.png
Ani_Duck_Swan,duck,white swan,A duck swimming in a pond,0.8,0.15,0.7480627689565957,30.829484939575195,0.3286826754127294,final_training_dataset/Ani_Duck_Swan/reference.png,final_training_dataset/Ani_Duck_Swan/best_F0.8_S0.15.png
Veh_Truck_Van,large truck,delivery van,A large truck driving on a road,1.2,0.15,0.7287895364322743,28.554075241088867,0.3942700790262422,final_training_dataset/Veh_Truck_Van/reference.png,final_training_dataset/Veh_Truck_Van/best_F1.2_S0.15.png
Veh_Scooter_Bike,vespa scooter,bicycle,A vespa scooter parked on the street,1.2,0.1,0.7112040893801735,31.00127220153809,0.2279466133735296,final_training_dataset/Veh_Scooter_Bike/reference.png,final_training_dataset/Veh_Scooter_Bike/best_F1.2_S0.1.png
Obj_Laptop_Book,laptop,open book,A laptop open on a wooden desk,0.8,0.15,0.6851448965471318,27.810293197631836,0.3223475814862376,final_training_dataset/Obj_Laptop_Book/reference.png,final_training_dataset/Obj_Laptop_Book/best_F0.8_S0.15.png
Obj_Candle_Lamp,lit candle,table lamp,A lit candle on a dark table,0.8,0.2,0.9857257315431784,34.29898452758789,0.7493651024785516,final_training_dataset/Obj_Candle_Lamp/reference.png,final_training_dataset/Obj_Candle_Lamp/best_F0.8_S0.2.png
Obj_Burger_Sandwich,cheeseburger,sandwich,A cheeseburger on a fast food tray,1.0,0.15,0.7945895938233117,30.984851837158203,0.4372313927003693,final_training_dataset/Obj_Burger_Sandwich/reference.png,final_training_dataset/Obj_Burger_Sandwich/best_F1.0_S0.15.png
Fash_Hat_Helmet,baseball cap,bicycle helmet,A baseball cap on a wooden shelf,0.8,0.2,0.8476266325812702,31.386669158935547,0.5497331235063981,final_training_dataset/Fash_Hat_Helmet/reference.png,final_training_dataset/Fash_Hat_Helmet/best_F0.8_S0.2.png
Fash_Shoe_Sandal,running shoe,leather sandal,A running shoe on the floor,1.2,0.2,0.7408633286963674,32.41822052001953,0.2312472957399419,final_training_dataset/Fash_Shoe_Sandal/reference.png,final_training_dataset/Fash_Shoe_Sandal/best_F1.2_S0.2.png
Fash_Shirt_Jacket,folded t-shirt,denim jacket,A folded t-shirt on a bed,0.8,0.2,0.8396870878464066,33.672996520996094,0.4155678935662116,final_training_dataset/Fash_Shirt_Jacket/reference.png,final_training_dataset/Fash_Shirt_Jacket/best_F0.8_S0.2.png
Fash_Bag_Backpack,leather handbag,school backpack,A leather handbag on a table,1.2,0.15,0.8101946590322766,30.020748138427734,0.524449240659305,final_training_dataset/Fash_Bag_Backpack/reference.png,final_training_dataset/Fash_Bag_Backpack/best_F1.2_S0.15.png
Furn_Chair_Armchair,wooden chair,red armchair,A wooden chair in an empty room,0.8,0.1,0.9267638937688514,34.02021789550781,0.6158988396467375,final_training_dataset/Furn_Chair_Armchair/reference.png,final_training_dataset/Furn_Chair_Armchair/best_F0.8_S0.1.png
Furn_Lamp_Plant,floor lamp,potted plant,A floor lamp standing in a corner,0.8,0.15,0.8481069849808496,31.71120262145996,0.5347073313791258,final_training_dataset/Furn_Lamp_Plant/reference.png,final_training_dataset/Furn_Lamp_Plant/best_F0.8_S0.15.png
